global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,-270775.7924109567,-93.27447206715698,2903,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,-258084.69679490113,-88.90275466582884,2903,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,-258772.70424293893,-89.13975344228002,2903,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,-258772.70424293893,-89.13975344228002,2903,0,nan,nan,nan,nan,nan,nan,0,False
4,train,0,-2300.0,-100.0,23,20,17476.17861328125,-0.12925747092813253,3.8924876391887664,1.4498817101120949,2.442605954408646,2.744896852970123,11635,False
5,train,1,-2500.0,-100.0,25,25,11057.438798828125,-0.33431050896644593,1181.4418466567993,590.0596423912049,591.3822049713135,2.81648325920105,11660,False
6,train,2,-1900.0,-100.0,19,19,1974.0159847861842,-0.5464430153369904,17776.560084292763,8887.945569490132,8888.614604749178,2.9035791095934416,11679,False
7,train,3,-2700.0,-100.0,27,27,1204.9173041449653,-0.6206952223071346,35104.4525462963,17543.963324652777,17560.489185474536,3.021143074388857,11706,False
8,train,4,-1900.0,-100.0,19,19,1025.3376593338817,-0.8255914982996488,130393.39638157895,65064.33501233553,65329.06003289474,3.152835544786955,11725,False
9,train,5,-1900.0,-100.0,19,19,943.1670467979029,-0.869652741833737,258787.54934210525,129393.71587171052,129393.83347039473,3.288044804020932,11744,False
10,train,6,-1900.0,-100.0,19,19,918.2228779039884,-0.8696941576505962,287349.44736842107,143674.71875,143674.7261513158,3.423889247994674,11763,False
11,train,7,-1900.0,-100.0,19,19,791.3023842259457,-0.8698588233245047,286391.4572368421,143195.72327302632,143195.73108552632,3.549214237614682,11782,False
12,train,8,-1900.0,-100.0,19,19,803.3893946597451,-0.8697627782821655,288582.1726973684,144291.07319078947,144291.09991776315,3.665595117368196,11801,False
13,train,9,-1900.0,-100.0,19,19,719.2048725328947,-0.8699015504435489,288206.82648026315,144103.41241776315,144103.41488486843,3.778589650204307,11820,False
14,eval,0,-262582.3048415708,-90.45205127163996,2903,0,nan,nan,nan,nan,nan,nan,0,False
15,eval,1,-262582.3048415708,-90.45205127163996,2903,0,nan,nan,nan,nan,nan,nan,0,False
