global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,482.88158450675263,0.9358170242378927,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,417.4683372629012,0.8090471652381805,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,278.9958891702076,0.5406897076942008,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,421.6774209321472,0.8172043041320682,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,449.9159926589123,0.8719302183312253,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-912.5958220302398,-1.7685965543221702,516,500,35.42802223062515,-0.1732259167805314,-0.11708111222088337,0.002194841293588979,-0.1192759539037943,3.1078774423599245,3096,True
6,train,1,-843.9521118398059,-1.6355661082166781,516,500,51.43112194252014,-0.23993127086758614,-0.06772952232509852,0.009363121556583791,-0.07709264390915632,4.478773846626281,3612,True
7,train,2,-480.75888345975335,-0.9317032625189018,516,500,102.29904319000244,-0.3037857487797737,0.001254764899611473,0.020418074779212474,-0.01916330989013659,5.124508873939514,4128,True
8,train,3,-261.8891684875037,-0.5075371482315963,516,500,158.1869022064209,-0.34739623659849167,0.03987577925994992,0.022622155882418157,0.017253623333526775,4.147334132671356,4644,True
9,train,4,-108.25409441306932,-0.20979475661447544,516,500,238.35597592163086,-0.39841121751070024,0.037619342263787985,0.018828026907518506,0.018791315352544188,3.0508423457145692,5160,True
10,train,5,-104.60331099846792,-0.20271959495827116,516,500,376.91290463256837,-0.4401049149632454,0.02796700470149517,0.013983406091108918,0.013983598610386252,2.312007016181946,5676,True
11,train,6,-55.75929213485062,-0.10806064367219112,516,500,517.9013623046875,-0.46734852010011674,0.017887346738949417,0.008943673369474709,0.008943673369474709,1.7862760710716248,6192,True
12,train,7,-31.38501332443966,-0.0608236692334102,516,500,688.5144847717285,-0.48202438992261887,0.010992371881380678,0.005496185940690339,0.005496185940690339,1.3718031494617462,6708,True
13,train,8,-45.20849953156564,-0.08761337118520474,516,500,879.5570843811036,-0.4894612978100777,0.008446223415900022,0.004222987396875396,0.004223236019024626,1.1194780402183533,7224,True
14,train,9,-51.375019599955735,-0.09956399147278243,516,500,1121.418695526123,-0.4943383901119232,0.008521213698666543,0.004260606849333271,0.004260606849333271,0.9819254726171494,7740,True
15,eval,0,-15.414814845674998,-0.029873672181540693,516,0,nan,nan,nan,nan,nan,nan,0,False
16,eval,1,-15.414814845674998,-0.029873672181540693,516,0,nan,nan,nan,nan,nan,nan,0,False
