global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,-41.95058876765694,-0.08129959063499406,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,-59.95000355647308,-0.11618217743502535,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,-59.939623787038364,-0.11616206160278753,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,-40.30906163699676,-0.07811833650580767,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,-40.56654312848805,-0.07861733164435669,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-97.89556865678412,-0.18972009429609327,516,516,0.36343350256396123,0.5632867868773119,nan,nan,nan,nan,3096,True
6,train,1,-6.765522546725746,-0.013111477803732067,516,516,0.41299801715469175,0.564508489513582,nan,nan,nan,nan,3612,True
7,train,2,-17.737124174585965,-0.03437427165617435,516,516,1.3303725098281405,0.16426136644463263,nan,nan,nan,nan,4128,True
8,train,3,-87.47276707477496,-0.16952086642398248,516,516,1.8821596610107163,-0.25686236430147247,nan,nan,nan,nan,4644,True
9,train,4,-42.886807943771686,-0.08311396888327846,516,516,1.9847788853469746,-0.4240004888324197,nan,nan,nan,nan,5160,True
10,train,5,-42.90752489046933,-0.08315411800478553,516,516,1.6933339505001557,-0.5437144757818806,nan,nan,nan,nan,5676,True
11,train,6,-49.43358370009204,-0.09580151879862799,516,516,1.7555965208845545,-0.6717926009392091,nan,nan,nan,nan,6192,True
12,train,7,-4.054307084917091,-0.007857184273095136,516,516,1.7117773239002672,-0.8085669906622217,nan,nan,nan,nan,6708,True
13,train,8,-47.47053845456356,-0.0919971675476038,516,516,1.483255808147811,-0.9890167565886364,nan,nan,nan,nan,7224,True
14,train,9,-39.79181979707184,-0.0771159298392865,516,516,1.4805528211963268,-1.1825004185354986,nan,nan,nan,nan,7740,True
15,train,10,-72.17603715675739,-0.1398760410014678,516,516,1.3350033701736799,-1.2970698121213173,nan,nan,nan,nan,8256,True
16,train,11,95.76818835177954,0.18559726424763479,516,516,2.219408347625141,-1.373566254626873,nan,nan,nan,nan,8772,True
