global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,-270775.7924109567,-93.27447206715698,2903,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,-258084.69679490113,-88.90275466582884,2903,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,-258772.70424293893,-89.13975344228002,2903,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,-258772.70424293893,-89.13975344228002,2903,0,nan,nan,nan,nan,nan,nan,0,False
4,train,0,-255144.695033097,-87.89000862318188,2903,2900,4225.055285223599,-0.2560830468089111,0.9443291063854021,0.4712735450314358,0.47305556135549176,104.62164180122573,14515,False
5,train,1,-251078.2986690223,-86.48925203893293,2903,2903,9159.872034738444,-0.2599096930400692,1.5159680642549473,0.7579809917362238,0.7579870725187235,86534.00574621922,17418,False
6,train,2,-251078.2986690223,-86.48925203893293,2903,2903,15077.069723888138,-0.25992061941532524,1.8271535772970122,0.9135767886485061,0.9135767886485061,75690476.92927575,20321,False
7,train,3,-251078.2986690223,-86.48925203893293,2903,2903,20286.57823416105,-0.2599171588041435,2.2236885810530764,1.1118442905265382,1.1118442905265382,68448787560.78539,23224,False
8,train,4,-251078.2986690223,-86.48925203893293,2903,2903,25000.610587209085,-0.259915931026483,2.262822075872392,1.131406249196785,1.131415826716671,54942943671963.734,26127,False
9,train,5,-251078.2986690223,-86.48925203893293,2903,2903,30561.60053766443,-0.25990730249959765,2.253075124763268,1.126537562381634,1.126537562381634,4.432103213642769e+16,29030,False
10,train,6,-251078.2986690223,-86.48925203893293,2903,2903,33202.20648662213,-0.2599108637590635,2.254912909827395,1.1274564549136974,1.1274564549136974,4.611741148775549e+18,31933,False
11,train,7,-251078.2986690223,-86.48925203893293,2903,2903,39289.62515592033,-0.25991774677121554,2.2403756801810215,1.1201878400905108,1.1201878400905108,6.829730825139913e+18,34836,False
12,train,8,-251078.2986690223,-86.48925203893293,2903,2903,44165.80778824573,-0.2599119715369491,2.2347221889045787,1.1173610944522894,1.1173610944522894,6.829730825139913e+18,37739,False
13,train,9,-251078.2986690223,-86.48925203893293,2903,2903,45472.30060480941,-0.2599136544288211,2.2326366238621977,1.1163183119310989,1.1163183119310989,6.829730825139913e+18,40642,False
14,eval,0,-251078.2986690223,-86.48925203893293,2903,0,nan,nan,nan,nan,nan,nan,0,False
15,eval,1,-251078.2986690223,-86.48925203893293,2903,0,nan,nan,nan,nan,nan,nan,0,False
