stage,episode,total_reward,average_reward,steps,video
warmup,1,0.0,0.0,753,C:\Users\cedri\code\autonomous-satellite-control-eth-sem-proj\backend\autonomous_control\models\nb-mpo-2026-05-01_15-07-17\warmup_01.mp4
warmup,2,0.0,0.0,753,C:\Users\cedri\code\autonomous-satellite-control-eth-sem-proj\backend\autonomous_control\models\nb-mpo-2026-05-01_15-07-17\warmup_02.mp4
