stage,episode,total_reward,average_reward,steps
train,1,-176652.75219558753,-93.81452586064128,1883
train,2,-176999.56037573074,-93.99870439497118,1883
train,3,-177148.2933807851,-94.07769165203669,1883
train,4,-176437.45161339617,-93.70018673042813,1883
train,5,-177290.48685171368,-94.15320597541884,1883
